normalized_string
AI theory
Actor-Network Theory
Advanced Theory
Aesthetic Theory
Appraisal Theory
Archaeological Theory
Archetype Theory
Assemblage theory
Associationist theory
Big-Bang Theory
Binding Theory
Blast Theory
Buddhist theories
CD theory
CG theory
Case Theory
Chaplin-against-cutting theory
Chomskyan theory
Coding Theory
Cognitive Theory
Communities Theory
Computational Theory
Concerning Theory
Constructionist Theory
Contemporary Theory
Control Theory
Conversation Theory
Critical Theory
Cultural theory
Cyborg theory
DH theory
DRT theory
Digital theory
Divide Theory
DoI theory
Economic theory
Education Theory
Educational Theory
Eisensteinian theory
Election Theory
Enlightenment theories
Epistle Theory
Evolutionary theories
Exposure Theory
FM theory
Feminist theories
Flemish theory
Formal Theories
Formulaic Theory
Foster theory
Freudian theory
GB theory
Gamer Theory
General Theory
Generative Theory
Gestalt theory
Gibsonian theory
Government-Binding theory
Grounded Theory
Halle-Keyser theory
Han4-Zi4 theory
Hebrew theory
Historical Theory
IB theories
Improvisation Theory
Indexing TheoriesS
Innovation theory
Interaction theory
Interface theory
Justification theory
KATR Theories
KATR theory
KR theory
Knowledge Theory
Laqueurian theory
Learning Theory
Legal Theory
Lesjak theory
Lexicon theory
Linguistic Theories
Linguistic Theory
Linguistics Theory
Literary Theory
Load Theory
Logical Theory
MT theory
Mapping Theory
Maps Theories
Marlovian theory
Marxist theory
Metrical Theory
Minimalist Theory
Music Theory
NFORMATION THEORY
NeoGrammarian theory
Neuron theory
New Theories
New Theory
Optimality Theory
Optimalrty Theory
P theory
Parsonian theory
Peircean theory
Platonic theory
Player Theory
Postmodern theory
Process Theory
Psycholinguistic theory
Publications theory
Q theory
Renaissance theories
Representation Theories
Representation Theory
Response theory
Rhetorical Theory
Rigdon theory
SLA theory
SNA theory
Schenkerian theory
School theory
Scientific Theories
Semantic Theories
Sense-Making Theory
Simplicity Theory
Simulation Theory
Social Theory
Spalding theory
Spalding-Rigdon Theory
Standard Theory
Statistical theory
Structure Theory
TG theory
Test Theory
Theatre theory
Theories
Translation theory
Unified Theory
Uniting theories
Video Theory
World Theory
X-bar theory
accommodation theory
account theories
acquisition theory
act theory
action theories
activity theory
after-the-fact theories
alternative theories
alternative theory
analogy theory
apparatus theory
archival theory
argumentation theory
art theory
articulates theories
articulation theory
attribute theories
auteur theory
authorship theory
automata theory
automaton theory
background theory
balance theory
balances theory
blend theory
brain theory
bridge theory
building theories
building theory
bullet theory
capital theory
catastrophe theory
category theory
cell theory
central-place theory
century theory
chain theory
chaos theory
chemical theory
choice theories
choice theory
circuit theory
classification theory
cogent theory
cognition theory
communication theory
communications theory
competence theory
compilation theories
complex-systems theory
complexity theory
composition theory
computability theory
computer theory
condensation theory
connectionist theory
connectivity theory
consciousness theory
conspiracy theories
constructivist theory
consumer theory
contextualist theory
convergence theory
core theories
correlators theory
culture theory
cutting-edge theory
cyberspace theories
cybertext theory
data theory
database theory
deconstruction theory
deconstructionist theories
dependence theories
dependency theory
des theories
descriptive theory
design theories
design theory
detection theory
development theory
dialogical theory
diffusion theory
disambiguation theory
discourse theories
discourse theory
discusses theories
discusses theory
distribution theory
distributionalist theories
document theories
document theory
domain theories
domain theory
editing theory
editorial theories
editorial theory
elaboration theory
encoding theory
engineering theory
equilibrium theory
equivalence theory
estimation theory
exchange theory
explanatory theory
fashion theories
feature theory
field theory
film theory
frame theory
fringe theories
function theory
gOnie theories
game theories
game theory
gender theory
gendering theories
governing theories
grammar theories
grammar theory
graph theory
hand-built theory
history theory
hoc theory
humanist theory
humanities theories
humanities theory
hypertext theory
identification theory
ideology theory
image theory
incorporating theory
indexing theory
informatics theory
information theory
intelligence theory
intervals theory
labor theory
language theories
language theory
lattice theory
learning theories
level theories
life theory
linear theory
linguistics theories
literary-technology theory
localization theory
management theory
markup theory
mashup theory
master theory
materialist theories
materialist theory
meaning theory
media theories
media theory
meme theory
memory theories
memory theory
metaphor theory
metatheory theory
middle-period theory
mind theory
model theory
modernization theory
modes theory
morphology theory
museology theory
music theories
narrative theories
narrative theory
network theories
network theory
number theory
one theory
oral theory
organization theories
organization theory
painting theories
panic theory
parsing theory
pattern theory
pattern-matching theory
performance theory
pet theory
picture theory
place theory
planning theory
polysystem theory
possibility theory
post theory
posthuman theories
postmodem theory
practice theory
precedes theory
presupposition theory
print theory
print-era theories
priori theories
priori theory
probability theory
processing theories
processing theory
proof theory
proto-network theory
prototype theory
prototyping theory
quantification theory
